Week Start,Influencer Posts,Instagram Posts,TikTok Posts,Podcast Downloads,Earned Media Value,Podcast Ad Spend
2026-03-16,62,24,38,30000,34000,16000
2026-03-23,70,28,42,31000,42000,18000
2026-03-30,58,22,36,29000,30000,15000
2026-04-06,66,26,40,32000,38000,17000
2026-04-13,74,30,44,30000,45000,19000
2026-04-20,60,24,36,31000,33000,16000
2026-04-27,132,52,80,33000,98000,20000
2026-05-04,80,32,48,34000,46000,21000
2026-05-11,70,28,42,55000,40000,24000
2026-05-18,124,50,74,36000,92000,19000
2026-05-25,78,30,48,58000,50000,25000
2026-06-01,66,26,40,38000,42000,20000
2026-06-08,72,28,44,35000,47000,18000
2026-06-15,68,27,41,34000,44000,17000
